epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.653,1.58869,1.96385,1.38181,0.70212,0.72312,0.775,0.47368,1.23605,2.08245,1.16736,0.00028,0.00028,0.00028
2,340.597,1.31207,1.12863,1.182,0.71405,0.73118,0.79801,0.47322,1.26097,1.36783,1.18694,0.000576172,0.000576172,0.000576172
3,462.385,1.30624,1.04951,1.18197,0.38788,0.64899,0.35742,0.21022,1.29272,3.67693,1.20582,0.000868384,0.000868384,0.000868384
4,583.22,1.26221,1.00107,1.19139,0.80075,0.64516,0.7146,0.43264,1.3679,1.42915,1.28384,0.00115664,0.00115664,0.00115664
5,702.598,1.2982,0.9768,1.18007,0.73324,0.65022,0.70537,0.41649,1.39926,1.3723,1.29314,0.00144093,0.00144093,0.00144093
6,829.043,1.29991,0.99859,1.19546,0.78727,0.70161,0.75581,0.45532,1.37142,1.19333,1.2771,0.00172126,0.00172126,0.00172126
7,951.072,1.292,0.98351,1.18786,0.74897,0.76075,0.79897,0.48355,1.33886,1.11892,1.23369,0.0019208,0.0019208,0.0019208
8,1074.43,1.31775,0.98166,1.18388,0.80846,0.65811,0.7434,0.45055,1.3565,1.25983,1.28618,0.0019076,0.0019076,0.0019076
9,1196.38,1.24424,0.91451,1.17068,0.76637,0.68548,0.76107,0.47532,1.28607,1.10457,1.23088,0.0018944,0.0018944,0.0018944
10,1318.06,1.29612,0.91365,1.18761,0.69816,0.66667,0.71496,0.43445,1.32239,1.11771,1.25671,0.0018812,0.0018812,0.0018812
11,1441.28,1.2254,0.85466,1.15201,0.73276,0.70161,0.76057,0.47629,1.36606,1.16055,1.27918,0.001868,0.001868,0.001868
12,1562.14,1.24867,0.84869,1.16814,0.56321,0.71774,0.53983,0.33778,1.29335,1.21559,1.20481,0.0018548,0.0018548,0.0018548
13,1682.69,1.24147,0.86456,1.14588,0.79617,0.73925,0.82529,0.5352,1.23933,1.12878,1.16379,0.0018416,0.0018416,0.0018416
14,1804.07,1.20741,0.80519,1.13903,0.81995,0.83247,0.88225,0.57243,1.25018,0.78546,1.1707,0.0018284,0.0018284,0.0018284
15,1930.42,1.21254,0.83289,1.15212,0.78508,0.7957,0.86031,0.56101,1.22278,0.81859,1.15871,0.0018152,0.0018152,0.0018152
16,2057.94,1.22037,0.82794,1.14454,0.7479,0.81452,0.85348,0.54165,1.25722,1.04095,1.17994,0.001802,0.001802,0.001802
17,2181.4,1.21424,0.84856,1.15226,0.84023,0.80376,0.88348,0.56224,1.21617,0.87391,1.15437,0.0017888,0.0017888,0.0017888
18,2303.48,1.23167,0.87079,1.14872,0.86965,0.79301,0.89317,0.5672,1.23373,0.78485,1.15733,0.0017756,0.0017756,0.0017756
19,2426.77,1.20941,0.81429,1.13826,0.83475,0.85753,0.91072,0.57005,1.23112,0.76881,1.16796,0.0017624,0.0017624,0.0017624
20,2548.9,1.18146,0.79563,1.14008,0.83842,0.87876,0.9273,0.60062,1.19274,0.72521,1.12903,0.0017492,0.0017492,0.0017492
